produto,quantidade,ano
VINHO DE MESA,187016848,2023
Tinto,165097539,2023
Rosado,2520748,2023
Branco,19398561,2023
VINHO FINO DE MESA,18589310,2023
Tinto,12450606,2023
Rosado,1214583,2023
Branco,4924121,2023
VINHO FRIZANTE,2843600,2023
VINHO ORGÂNICO,9123,2023
VINHO ESPECIAL,0,2023
Tinto,0,2023
Rosado,0,2023
Branco,0,2023
ESPUMANTES,29381635,2023
Espumante Moscatel,9771698,2023
Espumante,19609379,2023
Espumante Orgânico,558,2023
SUCO DE UVAS,166708720,2023
Suco Natural Integral,129419407,2023
Suco Adoçado,128599,2023
Suco Reprocessado/reconstituido,34402925,2023
Suco Orgânico,932154,2023
Outros sucos de uvas,1825635,2023
SUCO DE UVAS CONCENTRADO,37852507,2023
OUTROS PRODUTOS COMERCIALIZADOS,29889342,2023
Outros vinhos (sem informação detalhada),8152,2023
"Agrin (fermentado, acetico misto)",0,2023
Aguardente de vinho 50°gl,111,2023
Alcool vinico,0,2023
Bagaceira (graspa),0,2023
Base champenoise champanha,66290,2023
Base charmat champanha,184040,2023
Base espumante moscatel,722984,2023
Bebida de uva,16780,2023
Borra líquida,72600,2023
Borra seca,53220,2023
Brandy (conhaque),4506,2023
Cooler,4321881,2023
Coquetel com vinho,397156,2023
Destilado de vinho,245,2023
Filtrado doce,2366601,2023
Jeropiga,346,2023
Mistelas,1668,2023
Mosto concentrado,0,2023
Mosto de uva,359626,2023
Mosto sulfitado,0,2023
Nectar de uva,3604413,2023
Outros produtos,7459271,2023
Polpa de uva,1331651,2023
Preparado líquido para refresco,17178,2023
Refrigerante +50% suco,501876,2023
Sangria,84157,2023
Vinagre balsamico,338926,2023
Vinagre duplo,1769130,2023
Vinagre simples,5047280,2023
Vinho acetificado,194020,2023
Vinho base para espumantes,0,2023
Vinho composto,981,2023
Vinho licoroso,421974,2023
Vinho leve,132064,2023
Vinho gaseificado,410215,2023
Total,472291085,2023
VINHO DE MESA,187939996,2022
Tinto,165067340,2022
Rosado,2213723,2022
Branco,20658933,2022
VINHO FINO DE MESA,21533487,2022
Tinto,15258778,2022
Rosado,1318396,2022
Branco,4956314,2022
VINHO FRIZANTE,2875864,2022
VINHO ORGÂNICO,14947,2022
VINHO ESPECIAL,0,2022
Tinto,0,2022
Rosado,0,2022
Branco,0,2022
ESPUMANTES,29525942,2022
Espumante Moscatel,12204315,2022
Espumante,17321031,2022
Espumante Orgânico,597,2022
SUCO DE UVAS,157125036,2022
Suco Natural Integral,115394795,2022
Suco Adoçado,0,2022
Suco Reprocessado/reconstituido,35139154,2022
Suco Orgânico,1002685,2022
Outros sucos de uvas,5588403,2022
SUCO DE UVAS CONCENTRADO,33632834,2022
OUTROS PRODUTOS COMERCIALIZADOS,31704382,2022
Outros vinhos (sem informação detalhada),8812,2022
"Agrin (fermentado, acetico misto)",0,2022
Aguardente de vinho 50°gl,0,2022
Alcool vinico,0,2022
Bagaceira (graspa),5594,2022
Base champenoise champanha,60958,2022
Base charmat champanha,226901,2022
Base espumante moscatel,720603,2022
Bebida de uva,139943,2022
Borra líquida,49840,2022
Borra seca,122525,2022
Brandy (conhaque),4407,2022
Cooler,4505384,2022
Coquetel com vinho,292420,2022
Destilado de vinho,33,2022
Filtrado doce,2339403,2022
Jeropiga,1392,2022
Mistelas,4080,2022
Mosto concentrado,0,2022
Mosto de uva,1579638,2022
Mosto sulfitado,0,2022
Nectar de uva,4719055,2022
Outros produtos,7406812,2022
Polpa de uva,1058011,2022
Preparado líquido para refresco,19711,2022
Refrigerante +50% suco,265026,2022
Sangria,95605,2022
Vinagre balsamico,296664,2022
Vinagre duplo,987142,2022
Vinagre simples,5309881,2022
Vinho acetificado,1052563,2022
Vinho base para espumantes,0,2022
Vinho composto,32000,2022
Vinho licoroso,385006,2022
Vinho leve,27,2022
Vinho gaseificado,14947,2022
Total,464352488,2022
